CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
41.978.168/0001-53;2024-12-01;1;N/A;0;N/A;N/A
42.537.492/0001-07;2024-06-01;1;n/a;n/a;n/a;n/a
42.537.492/0001-07;2024-06-01;1;n/a;n/a;n/a;n/a
42.592.257/0001-20;2024-12-01;1;Banco do Brasil S.A.;191;Av República do Chile, 330 - 9º   andar - Rio de Janeiro - RJ;(21) 3808-3466
42.592.476/0001-09;2024-06-01;1;LESTE FINANCIAL SERVICES GESTÃO DE RECURSOS LTDA;17036001000199;Rua Dias Ferreira, n° 190, 6° andar, Leblon, Rio de Janeiro/RJ;(21) 3544-4739
43.009.610/0001-69;2024-12-01;1;n/a;n/a;n/a;n/a
43.009.610/0001-69;2024-12-01;1;n/a;n/a;n/a;n/a
43.009.610/0001-69;2024-12-01;1;n/a;n/a;n/a;n/a
43.009.610/0001-69;2024-12-01;1;n/a;n/a;n/a;n/a
43.010.485/0001-07;2024-12-01;1;n/a;n/a;n/a;n/a
43.010.485/0001-07;2024-12-01;1;n/a;n/a;n/a;n/a
43.010.844/0001-26;2024-12-01;1;n/a;n/a;n/a;n/a
43.010.844/0001-26;2024-12-01;1;n/a;n/a;n/a;n/a
43.164.799/0001-64;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
43.619.218/0001-31;2024-12-01;1;Fenix Consultoria e Sistemas Empresariais Ltda;20.867.202/0001-42;Rua Funchal, 263, Conj 32;011 3106-2021
43.862.625/0001-75;2024-12-01;1;JJ CHAVES CONTADORES S/S;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
44.107.380/0001-33;2024-12-01;1;N/A;N/A;N/A;N/A
44.395.062/0001-15;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
44.428.541/0001-90;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
44.669.639/0001-30;2024-12-01;1;N/A;N/A;N/A;N/A
45.188.033/0001-45;2024-12-01;1;n/a;n/a;n/a;n/a
45.188.033/0001-45;2024-12-01;1;n/a;n/a;n/a;n/a
45.188.199/0001-61;2024-12-01;1;n/a;n/a;n/a;n/a
45.188.199/0001-61;2024-12-01;1;n/a;n/a;n/a;n/a
46.027.189/0001-07;2024-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
47.085.640/0001-05;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
47.136.369/0001-90;2024-12-01;1;VITRA CONSULTORIA CONTABIL LTDA;47293710000110;AL. RIO NEGRO 503, SALA 320- ALPHAVILLE - SÃO PAULO/SP;(11) 2664-6400
48.916.699/0001-60;2024-12-01;1;n/a;n/a;n/a;n/a
48.916.699/0001-60;2024-12-01;1;n/a;n/a;n/a;n/a
48.916.699/0001-60;2024-12-01;1;n/a;n/a;n/a;n/a
48.978.859/0001-04;2024-06-01;1;BGR ASSET MANAGEMENT LTDA;48730767000100;Avenida das Nações Unidas, nº 12.495, Centro Empresarial Berrini, Torre A, 18º andar, escritório 181, parte, Brooklin Novo, CEP 04578-000;(11) 32011000
50.492.450/0001-17;2024-12-01;1;Tauil & Chequer Advogados Associado a Mayer Browm LLP;07.763.665/0001-04;Av Nossa Senhora dos Navegantes, 451 - 17° andar cj 1703;027 2123-0777
50.555.700/0001-10;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1212 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
50.659.134/0001-97;2024-12-01;1;Tauil & Chequer Advogados Associado a Mayer Browm LLP;07.763.665/0001-04;Av Nossa Senhora dos Navegantes, 451 - 17° andar cj 1703;027 2123-0777
51.646.298/0001-42;2024-12-01;1;BTG Pactual Serviços Financeiros S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, 501, 5º andar, parte,  Botafogo, Rio de Janeiro/RJ;(11) 2740-2906
51.666.294/0001-26;2024-12-01;1;PREFEITURA DE SÃO PAULO;46395000000139;VIADUTO DO CHA, 15, EDIF MATARAZZO - CENTRO, SAO PAULO - SP - 01002-020;(11) 31138438
51.710.043/0001-00;2024-12-01;1;JJ CHAVES CONTADORES S/S;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
51.802.350/0001-02;2024-12-01;1;CAMPO VERDE 385 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.;34033491000199;R PEDROSO ALVARENGA, 691, CONJ 1007 PARTE - ITAIM BIBI, SAO PAULO - SP - 04531-011;(11) 30783767
51.802.350/0001-02;2024-12-01;1;EQI INVESTIMENTOS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;47965438000178;AV BRIG FARIA LIMA, 3600, ANDAR 7 CONJ 72 PARTE, ITAIM BIBI, SÃO PAULO - SP;(11) 47501795
52.446.271/0001-79;2024-06-01;1;n/a;n/a;n/a;n/a
52.446.271/0001-79;2024-06-01;1;n/a;n/a;n/a;n/a
52.713.882/0001-36;2024-12-01;1;n/a;n/a;n/a;n/a
52.713.882/0001-36;2024-12-01;1;ELKO SP ADMINISTRACAO E COMERCIALIZACAO;15742975000162;AV GIOVANNI GRONCHI, 5819,  - , SAO PAULO - SP - 05724-003;()
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
52.714.934/0001-99;2024-12-01;1;n/a;n/a;n/a;n/a
53.309.565/0001-11;2024-12-01;1;RIO DE JANEIRO PREFEITURA;42498733000148;R AFONSO CAVALCANTI, 455, ANEXO/ - CIDADE NOVA, RIO DE JANEIRO - RJ - 20211-110;(21) 25033553
53.523.736/0001-00;2024-12-01;1;MORE INVEST GESTORA DE RECURSOS LTDA.;10556398000109;AV BRIG LUIS ANTONIO, 4552,  - JARDIM PAULISTA, SAO PAULO - SP - 01402-002;(11) 97763116
54.089.708/0001-90;2024-12-01;1;JHSF CAPITAL LTDA;7311643000103;Av. Magalhães de Castro, 4800 - Jardim Panorama, São Paulo - SP, 05502-001;(11) 3702-1900
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.134.474/0001-55;2024-12-01;1;n/a;n/a;n/a;n/a
54.375.187/0001-37;2024-06-01;1;Banco do Brasil S.A.;191;Avenida chile, 330 - 9º andar - Rio de Janeiro - RJ;(21) 3808-6066
54.483.412/0001-59;2024-12-01;1;Dojo Capital investimentos;38183509000190;Rua Ataulfo de Paiva, nº 341 sal 809, Leblon, Rio de Janeiro, CEP 22440-032;(21) 2487-0009
54.564.113/0001-49;2024-06-01;1;XP VISTA ASSET MANAGMENT LTDA.;16789525000198;;
54.620.584/0001-27;2024-06-01;2;ORIZ ASSET MANAGEMENT LTDA.;31.384.260/001-31;AV BRIG FARIA LIMA, nº 2055, CONJ. 152, JARDIM PAULISTANO, São Paulo/SP;(11) 9100-94820
55.314.271/0001-03;2024-12-01;1;n/a;n/a;n/a;n/a
55.314.271/0001-03;2024-12-01;1;n/a;n/a;n/a;n/a
55.315.760/0001-80;2024-12-01;1;n/a;n/a;n/a;n/a
55.431.577/0001-40;2024-12-01;1;n/a;n/a;n/a;n/a
56.053.824/0001-84;2024-12-01;1;EQI INVESTIMENTOS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;47965438000178;AV BRIG FARIA LIMA, 3600, ANDAR 7 CONJ 72 PARTE, ITAIM BIBI, SÃO PAULO - SP;(11) 47501795
56.212.023/0001-14;2024-12-01;1;SOUZA CESCON AVEDISSIAN BARRIEU E;02520543000165;AV BRIG FARIA LIMA, 949, AND 10 - PINHEIROS, SAO PAULO - SP - 05426-100;(11) 976263091
57.495.006/0001-02;2024-12-01;1;JJ CHAVES CONTADORES S/S;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
